               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.029068,            0.034134,          0.00017261,             0.72192,             0.77729,             0.72406,             0.42154,            0.031874,            0.036178,          0.00034689,           0.0050995,           0.0050995,           0.0050995
                 101,            0.029234,             0.03397,          0.00015165,             0.58495,             0.71207,             0.56451,             0.35692,            0.031417,            0.036295,          0.00045242,             0.00505,             0.00505,             0.00505
                 102,            0.028819,            0.034194,          0.00018163,               0.559,             0.78527,              0.5686,             0.35651,            0.031428,            0.035625,          0.00037835,           0.0050005,           0.0050005,           0.0050005
                 103,            0.028544,            0.034677,          0.00014356,             0.61782,             0.77879,              0.5787,             0.36042,             0.03111,            0.035337,          0.00033178,            0.004951,            0.004951,            0.004951
                 104,            0.028942,            0.034226,          0.00014666,             0.66193,             0.83817,             0.62452,             0.38424,            0.031479,            0.036465,          0.00029754,           0.0049015,           0.0049015,           0.0049015
                 105,            0.028686,             0.03475,          0.00013443,             0.54691,             0.77857,             0.53784,             0.34114,            0.031586,            0.036669,          0.00049271,            0.004852,            0.004852,            0.004852
                 106,            0.029005,            0.033878,          0.00013988,             0.51061,             0.59554,             0.50403,             0.32583,             0.03155,            0.035959,          0.00043548,           0.0048025,           0.0048025,           0.0048025
                 107,            0.028499,            0.033615,          0.00015746,             0.54927,             0.78862,              0.5584,             0.34827,            0.031176,            0.035571,          0.00026527,            0.004753,            0.004753,            0.004753
                 108,             0.02895,            0.034501,          0.00015108,             0.64081,             0.77812,             0.59272,             0.37742,            0.031401,            0.035486,          0.00035152,           0.0047035,           0.0047035,           0.0047035
                 109,             0.02833,             0.03384,          0.00015167,              0.5831,             0.71711,              0.5924,              0.3662,            0.031279,            0.035588,          0.00037203,            0.004654,            0.004654,            0.004654
                 110,            0.028987,            0.033624,          0.00016577,             0.55054,              0.7193,              0.5518,             0.34633,            0.031678,            0.036335,          0.00049396,           0.0046045,           0.0046045,           0.0046045
                 111,            0.028524,            0.034079,          0.00015856,             0.57814,             0.65892,             0.56927,             0.35998,            0.031925,            0.035619,          0.00016641,            0.004555,            0.004555,            0.004555
                 112,            0.027962,            0.033757,          0.00014006,             0.55614,             0.58951,             0.50929,             0.33167,            0.031915,             0.03656,          0.00026742,           0.0045055,           0.0045055,           0.0045055
                 113,            0.028175,            0.033495,          0.00013892,             0.59411,             0.71497,             0.55877,             0.34696,            0.032195,            0.036811,          0.00046188,            0.004456,            0.004456,            0.004456
                 114,            0.028148,            0.033573,          0.00014122,              0.9079,             0.76743,             0.79258,              0.4903,            0.031262,            0.035754,          0.00023184,           0.0044065,           0.0044065,           0.0044065
                 115,            0.028156,            0.032665,          0.00014433,             0.56387,             0.71607,              0.5373,             0.34512,            0.031514,            0.036331,          0.00041388,            0.004357,            0.004357,            0.004357
                 116,             0.02769,            0.033401,          0.00012319,             0.58012,             0.65666,             0.54895,             0.35184,            0.031351,            0.035961,          0.00024956,           0.0043075,           0.0043075,           0.0043075
                 117,            0.028176,            0.033091,          0.00013901,              0.5814,             0.72012,             0.55112,             0.35487,            0.031505,              0.0361,          0.00030908,            0.004258,            0.004258,            0.004258
                 118,            0.027584,            0.033075,           0.0001368,             0.64041,             0.71789,             0.62234,             0.40794,            0.031099,            0.035422,          0.00036751,           0.0042085,           0.0042085,           0.0042085
